Time,	,RPM,	,Position,	,RPMDifferent,	,AnalogOutput
0.4473328125,	,0.0,	,0,	,-0.0,	,0.0
0.4553659375,	,0.0,	,0,	,-0.0,	,0.0
0.4553659375,	,0.0,	,0,	,-0.0,	,0.0
0.4553659375,	,0.0,	,0,	,-0.0,	,0.0
0.4553659375,	,0.0,	,0,	,-0.0,	,0.0
0.4553659375,	,0.0,	,0,	,-0.0,	,0.0
0.4553659375,	,0.0,	,0,	,-0.0,	,0.0
0.4553659375,	,0.0,	,0,	,-0.0,	,0.0
0.4553659375,	,0.0,	,0,	,-0.0,	,0.0
0.46323875,	,0.0,	,0,	,-0.0,	,0.0
0.46323875,	,0.0,	,0,	,-0.0,	,0.0
0.46323875,	,0.0,	,0,	,-0.0,	,0.0
0.46323875,	,0.0,	,0,	,-0.0,	,0.0
0.46323875,	,0.0,	,0,	,-0.0,	,0.0
0.46323875,	,0.0,	,0,	,-0.0,	,0.0
0.46323875,	,0.0,	,0,	,-0.0,	,0.0
0.46323875,	,0.0,	,0,	,-0.0,	,0.0
0.471306875,	,0.0,	,0,	,-0.0,	,0.0
0.471306875,	,0.0,	,0,	,-0.0,	,0.0
0.471306875,	,0.0,	,0,	,-0.0,	,0.0
0.471306875,	,0.0,	,0,	,-0.0,	,0.0
0.471306875,	,0.0,	,0,	,-0.0,	,0.0
0.471306875,	,0.0,	,0,	,-0.0,	,0.0
0.471306875,	,0.0,	,0,	,-0.0,	,0.0
0.471306875,	,0.0,	,0,	,-0.0,	,0.0
0.4793078125,	,0.0,	,0,	,-0.0,	,0.0
0.4793078125,	,0.0,	,0,	,-0.0,	,0.0
0.4793078125,	,0.0,	,0,	,-0.0,	,0.0
0.4793078125,	,0.0,	,0,	,-0.0,	,0.0
0.4793078125,	,0.0,	,0,	,-0.0,	,0.0
0.4793078125,	,0.0,	,0,	,-0.0,	,0.0
0.4793078125,	,0.0,	,0,	,-0.0,	,0.0
0.4793078125,	,0.0,	,0,	,-0.0,	,0.0
0.4873609375,	,0.0,	,0,	,-0.0,	,0.0
0.4873609375,	,0.0,	,0,	,-0.0,	,0.0
0.4873609375,	,0.0,	,0,	,-0.0,	,0.0
0.4873609375,	,0.0,	,0,	,-0.0,	,0.0
0.4873609375,	,0.0,	,0,	,-0.0,	,0.0
0.4873609375,	,0.0,	,0,	,-0.0,	,0.0
0.4873609375,	,0.0,	,0,	,-0.0,	,0.0
0.4873609375,	,0.0,	,0,	,-0.0,	,0.0
0.4953596875,	,0.0,	,0,	,-0.0,	,0.0
0.4953596875,	,0.0,	,0,	,-0.0,	,0.0
0.4953596875,	,0.0,	,0,	,-0.0,	,0.0
0.4953596875,	,0.0,	,0,	,-0.0,	,0.0
0.4953596875,	,0.0,	,0,	,-0.0,	,0.0
0.4953596875,	,0.0,	,0,	,-0.0,	,0.0
0.4953596875,	,0.0,	,0,	,-0.0,	,0.0
0.4953596875,	,0.0,	,0,	,-0.0,	,0.0
0.5032528125,	,0.0,	,0,	,-0.0,	,0.0
0.5032528125,	,0.0,	,0,	,-0.0,	,0.0
0.5032528125,	,0.0,	,0,	,-0.0,	,0.0
